Source IS,Target IS,Tenders Citing Source,Tenders Citing Target,Co-citation Count,Confidence,Lift,Evidence Statement
IS 1363,IS 11149,11,9,5,0.455,61.212,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 1255,11,18,5,0.455,30.606,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 13703,11,9,5,0.455,61.212,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 1786,11,34,5,0.455,16.203,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 1852,11,22,5,0.455,25.041,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 2099,11,20,5,0.455,27.545,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 2544,11,13,5,0.455,42.378,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 2551,11,13,5,0.455,42.378,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 269,11,14,5,0.455,39.351,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 2705,11,29,5,0.455,18.997,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 3156,11,18,5,0.455,30.606,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 3231,11,16,5,0.455,34.432,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 383,11,26,5,0.455,21.189,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 432,11,10,5,0.455,55.091,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 456,11,28,5,0.455,19.675,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 554,11,20,5,0.455,27.545,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 5578,11,14,5,0.455,39.351,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 5831,11,51,5,0.455,10.802,Cited alongside IS 1363 in 5 of 11 comparable tenders
