Tender ID,GeM Bid Id,Product Family,IS Numbers Cited,Count,Outdated Citations,Any Outdated,Unmatched Citations,Usability,OCR Pages,OCR Characters,OCR Dropped
GEM/2025/B/6039621,7624524.0,Unclassified,,0,,Not checked,,Not extractable,1,99,
GEM/2025/B/6039644,7624549.0,Unclassified,,0,,Not checked,,Not extractable,1,99,
GEM/2025/B/6040549,7625585.0,Unclassified,,0,,Not checked,,Read by OCR,2,1549,
GEM/2025/B/6039473,7624346.0,MTD — Metallurgical Engineering Department,IS 277; IS 14246; IS 4923; IS 806; IS 800; IS 694; IS 9537; IS 3043; IS 13032,9,IS 14246 (Superseded),Yes,,Read by OCR,12,14552,
GEM/2025/B/6016953,7598754.0,Unclassified,,0,,Not checked,,Read by OCR,43,95268,
GEM/2025/B/6042045,7627597.0,Unclassified,,0,,Not checked,,Read by OCR,2,5632,
GEM/2025/B/6044295,7630305.0,Unclassified,,0,,Not checked,,Read by OCR,4,6221,
GEM/2025/B/6044055,7630010.0,Unclassified,,0,,Not checked,,Read by OCR,12,13769,
GEM/2025/B/6048098,7634558.0,Unclassified,,0,,Not checked,,Not extractable,1,140,
GEM/2025/B/6048750,7635274.0,Unclassified,,0,,Not checked,,Read by OCR,1,279,
GEM/2025/B/6037418,7621962.0,MTD — Metallurgical Engineering Department,IS 734,1,,No,,Read by OCR,24,79957,
GEM/2025/B/6049274,7635847.0,ETD — Electrotechnical Department,IS 3624,1,,No,,Read by OCR,1,827,
GEM/2025/B/6040765,7625883.0,Unclassified,,0,,Not checked,,Read by OCR,24,24483,
GEM/2025/B/6050117,7636775.0,Unclassified,,0,,Not checked,,Read by OCR,3,3038,
GEM/2025/B/6050683,7637404.0,Unclassified,,0,,Not checked,,Read by OCR,4,3868,
GEM/2025/B/6050700,7637423.0,Unclassified,,0,,Not checked,,Read by OCR,1,1763,
GEM/2025/B/6051209,7637996.0,Unclassified,,0,,Not checked,,Read by OCR,1,1769,
GEM/2025/B/6038689,7623435.0,MTD — Metallurgical Engineering Department,IS 2507; IS 6821 (Table-1); IS 6821; IS 250; IS 3618; IS 335; IS 330; IS 245,8,,No,,Read by OCR,27,36080,
GEM/2025/B/6049139,7635698.0,Unclassified,,0,,Not checked,,Read by OCR,10,12125,
GEM/2025/B/6046790,7633136.0,Unclassified,,0,,Not checked,,Read by OCR,12,20555,
GEM/2025/B/6051654,7638481.0,Unclassified,,0,,Not checked,,Read by OCR,3,440,
GEM/2025/B/6055365,7642718.0,Unclassified,,0,,Not checked,,Not extractable,1,154,
GEM/2025/B/6061375,7650035.0,Unclassified,,0,,Not checked,,Read by OCR,2,914,
GEM/2025/B/6062275,7651139.0,Unclassified,,0,,Not checked,,Read by OCR,2,296,
GEM/2025/B/6052514,7639466.0,Unclassified,,0,,Not checked,,Read by OCR,6,5783,
