Source IS,Target IS,Tenders Citing Source,Tenders Citing Target,Co-citation Count,Confidence,Lift,Evidence Statement
IS 733,IS 7088,6,3,3,0.5,22.333,Cited alongside IS 733 in 3 of 6 comparable tenders
IS 733,IS 456,6,11,3,0.5,6.091,Cited alongside IS 733 in 3 of 6 comparable tenders
IS 733,IS 15622,6,5,3,0.5,13.4,Cited alongside IS 733 in 3 of 6 comparable tenders
IS 16101,IS 16103,6,9,3,0.5,7.444,Cited alongside IS 16101 in 3 of 6 comparable tenders
IS 16101,IS 16108,6,10,3,0.5,6.7,Cited alongside IS 16101 in 3 of 6 comparable tenders
IS 16101,IS 10322,6,23,3,0.5,2.913,Cited alongside IS 16101 in 3 of 6 comparable tenders
IS 1868,IS 6057,6,3,3,0.5,22.333,Cited alongside IS 1868 in 3 of 6 comparable tenders
IS 1868,IS 9103,6,7,3,0.5,9.571,Cited alongside IS 1868 in 3 of 6 comparable tenders
IS 10810,IS 1554,8,14,4,0.5,4.786,Cited alongside IS 10810 in 4 of 8 comparable tenders
IS 1868,IS 4925,6,3,3,0.5,22.333,Cited alongside IS 1868 in 3 of 6 comparable tenders
IS 1868,IS 7088,6,3,3,0.5,22.333,Cited alongside IS 1868 in 3 of 6 comparable tenders
IS 1868,IS 456,6,11,3,0.5,6.091,Cited alongside IS 1868 in 3 of 6 comparable tenders
IS 1868,IS 1489,6,8,3,0.5,8.375,Cited alongside IS 1868 in 3 of 6 comparable tenders
IS 1868,IS 2835,6,4,3,0.5,16.75,Cited alongside IS 1868 in 3 of 6 comparable tenders
IS 16106,IS 16105,18,9,9,0.5,7.444,Cited alongside IS 16106 in 9 of 18 comparable tenders
IS 16108,IS 10322 (Part 1),10,11,5,0.5,6.091,Cited alongside IS 16108 in 5 of 10 comparable tenders
IS 1489,IS 8112,8,7,4,0.5,9.571,Cited alongside IS 1489 in 4 of 8 comparable tenders
IS 16108,IS 10322 (Part 5),10,17,5,0.5,3.941,Cited alongside IS 16108 in 5 of 10 comparable tenders
IS 16106,IS 10322 (Part 5),18,17,9,0.5,3.941,Cited alongside IS 16106 in 9 of 18 comparable tenders
IS 1239,IS 8329,6,9,3,0.5,7.444,Cited alongside IS 1239 in 3 of 6 comparable tenders
IS 15885,IS 16108,6,10,3,0.5,6.7,Cited alongside IS 15885 in 3 of 6 comparable tenders
IS 15885,IS 16106,6,18,3,0.5,3.722,Cited alongside IS 15885 in 3 of 6 comparable tenders
IS 15885,IS 16107,6,14,3,0.5,4.786,Cited alongside IS 15885 in 3 of 6 comparable tenders
IS 1239,IS 1537,6,3,3,0.5,22.333,Cited alongside IS 1239 in 3 of 6 comparable tenders
IS 1239,IS 3589,6,4,3,0.5,16.75,Cited alongside IS 1239 in 3 of 6 comparable tenders
IS 1489,IS 383,8,7,4,0.5,9.571,Cited alongside IS 1489 in 4 of 8 comparable tenders
IS 7098,IS 8130,18,22,9,0.5,3.045,Cited alongside IS 7098 in 9 of 18 comparable tenders
IS 10322,IS 16107,23,14,11,0.478,4.578,Cited alongside IS 10322 in 11 of 23 comparable tenders
IS 10322 (Part 5),IS 16107,17,14,8,0.471,4.504,Cited alongside IS 10322 (Part 5) in 8 of 17 comparable tenders
IS 2062,IS 3043,11,8,5,0.455,7.614,Cited alongside IS 2062 in 5 of 11 comparable tenders
IS 2062,IS 8130,11,22,5,0.455,2.769,Cited alongside IS 2062 in 5 of 11 comparable tenders
IS 2062,IS 875,11,7,5,0.455,8.701,Cited alongside IS 2062 in 5 of 11 comparable tenders
IS 2062,IS 694,11,48,5,0.455,1.269,Cited alongside IS 2062 in 5 of 11 comparable tenders
IS 10322 (Part 1),IS 16108,11,10,5,0.455,6.091,Cited alongside IS 10322 (Part 1) in 5 of 11 comparable tenders
IS 10322 (Part 1),IS 15885 (Part 2),11,10,5,0.455,6.091,Cited alongside IS 10322 (Part 1) in 5 of 11 comparable tenders
IS 10322 (Part 1),IS 16105,11,9,5,0.455,6.768,Cited alongside IS 10322 (Part 1) in 5 of 11 comparable tenders
IS 8329,IS 456,9,11,4,0.444,5.414,Cited alongside IS 8329 in 4 of 9 comparable tenders
IS 16105,IS 16104,9,8,4,0.444,7.444,Cited alongside IS 16105 in 4 of 9 comparable tenders
IS 8329,IS 4985,9,12,4,0.444,4.963,Cited alongside IS 8329 in 4 of 9 comparable tenders
IS 16103,IS 10322 (Part 1),9,11,4,0.444,5.414,Cited alongside IS 16103 in 4 of 9 comparable tenders
IS 16103,IS 16105,9,9,4,0.444,6.617,Cited alongside IS 16103 in 4 of 9 comparable tenders
IS 16103,IS 15885 (Part 2),9,10,4,0.444,5.956,Cited alongside IS 16103 in 4 of 9 comparable tenders
IS 10418,IS 694,9,48,4,0.444,1.241,Cited alongside IS 10418 in 4 of 9 comparable tenders
IS 7098,IS 1554,18,14,8,0.444,4.254,Cited alongside IS 7098 in 8 of 18 comparable tenders
IS 7098,IS 5831,18,20,8,0.444,2.978,Cited alongside IS 7098 in 8 of 18 comparable tenders
IS 8329,IS 1536,9,5,4,0.444,11.911,Cited alongside IS 8329 in 4 of 9 comparable tenders
IS 16106,IS 16103,18,9,8,0.444,6.617,Cited alongside IS 16106 in 8 of 18 comparable tenders
IS 8329,IS 3589,9,4,4,0.444,14.889,Cited alongside IS 8329 in 4 of 9 comparable tenders
IS 16105,IS 16103,9,9,4,0.444,6.617,Cited alongside IS 16105 in 4 of 9 comparable tenders
IS 8112,IS 1199,7,4,3,0.429,14.357,Cited alongside IS 8112 in 3 of 7 comparable tenders
IS 875,IS 2629,7,4,3,0.429,14.357,Cited alongside IS 875 in 3 of 7 comparable tenders
IS 1285,IS 2835,7,4,3,0.429,14.357,Cited alongside IS 1285 in 3 of 7 comparable tenders
IS 875,IS 4759,7,5,3,0.429,11.486,Cited alongside IS 875 in 3 of 7 comparable tenders
IS 9103,IS 1285,7,7,3,0.429,8.204,Cited alongside IS 9103 in 3 of 7 comparable tenders
IS 9103,IS 612,7,3,3,0.429,19.143,Cited alongside IS 9103 in 3 of 7 comparable tenders
IS 9103,IS 733,7,6,3,0.429,9.571,Cited alongside IS 9103 in 3 of 7 comparable tenders
IS 9103,IS 6057,7,3,3,0.429,19.143,Cited alongside IS 9103 in 3 of 7 comparable tenders
