IS Number,Full Title,Year,Status,Replaced By,Supersedes,Product Family,Priority,Source Link,IS Base,Cited As,Collected From,Department Id,Committee Id
IS 6745:1972,Methods for determination of mass of zinc coating on zinc coated iron and steel articles,1973.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 6745,IS 6745,BIS searchKnowStandards,70,111
IS 432 (Part 1):1982,Specification for Mild Steel and Medium Tensile Steel Bars and Hard-Drawn Steel Wire for Concrete Reinforcement: Part 1 Mild Steel and Medium Tensile Steel Bars (Third revision),1982.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 432,IS 432,BIS searchKnowStandards,63,220
IS 383:2016,Coarse and Fine Aggregate for Concrete - Specification (Third Revision) ,,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 383,IS 383,BIS searchKnowStandards,63,190
IS 516 (Part 1/Sec 1):2021,"Hardened concrete - Methods of test: Part 1 Testing of strength of hardened concrete: Section 1 Compressive, flexural and split tensile strength (First Revision)",2021.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 516,IS 516,BIS searchKnowStandards,63,190
IS 1367 (Part 1):2014,"Technical supply conditions for threaded steel fasteners: Part 1 general requirements for bolts, screws, studs and nuts (Fourth Revision)",2014.0,Current,UNKNOWN,UNKNOWN,PGD — Production And General Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1367,IS 1367,BIS searchKnowStandards,74,320
IS 210:2009,Grey iron castings - Specification (Fifth Revision),2009.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 210,IS 210,BIS searchKnowStandards,70,29
IS 8112:2013,"Ordinary Portland Cement, 43 Grade",,Withdrawn,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 8112,IS 8112,BIS searchKnowStandards,63,190
IS 458:2021,Precast Concrete Pipes (with and without Reinforcement) -,2021.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 458,IS 458,BIS searchKnowStandards,63,219
IS 1852:1985,Specification for rolling and cutting tolerances for hot - Rolled steel products (Fourth Revision),,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1852,IS 1852,BIS searchKnowStandards,70,27
IS 2878:2004,"Fire Extinguisher, Carbon Dioxide Type (Portable and Trolley Mounted) -Specification",,Withdrawn,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 2878,IS 2878,BIS searchKnowStandards,63,202
IS 13118:1991,High-Voltage Alternating-Current Circuit-Breakers,,Withdrawn,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 13118,IS 13118,BIS searchKnowStandards,65,242
IS 4759:1996,Hot - Dip zinc coatings on structural steel and other allied products - Specification (Third Revision),,Withdrawn,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 4759,IS 4759,BIS searchKnowStandards,70,111
IS 280:2006,Mild steel wire for general engineering purposes (Fourth Revision),2006.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 280,IS 280,BIS searchKnowStandards,70,27
IS 783:1985,Code of Practice for Laying of Concrete Pipes,1986.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 783,IS 783,BIS searchKnowStandards,63,219
IS 4237:1982,General requirements for switchgear and controlgear for voltages not exceeding 1 000 volts ac or 1 200 volts dc,,Withdrawn,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 4237,IS 4237,BIS searchKnowStandards,65,239
IS 9103:1999, Concrete Admixtures -Specification (First Revision),1999.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 9103,IS 9103,BIS searchKnowStandards,63,190
IS 10221:2008,Coating and wrapping of underground mild steel pipelines - Code of practice (First Revision),2008.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 10221,IS 10221,BIS searchKnowStandards,70,111
IS 1651 : 2013,"Stationary cells and batteries, lead - Acid type (With Tubular Positive Plates) - Specification (Fourth Revision)",2013.0,Superseded,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1651,IS 1651,BIS searchKnowStandards,65,245
IS 8329:2000,"Centrifugally cast (Spun) ductile iron pressure pipes for water, gas and sewage - Specification (Third Revision)",2000.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 8329,IS 8329,BIS searchKnowStandards,70,29
IS 5561:2018,Electric power connectors - Specification (First Revision),2018.0,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 5561,IS 5561,BIS searchKnowStandards,65,242
IS 1489 (Part 1)  : 2015,Portland Pozzolana Cement - Specification: Part 1 fly Ash Based (Fourth Revision),2015.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1489,IS 1489,BIS searchKnowStandards,63,190
IS 1646:2015,Fire safety of buildings (General): electrical installations - Code of practice (Third Revision),2015.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1646,IS 1646,BIS searchKnowStandards,63,207
IS 12640 (Part 1):2024,Residual current operated circuitBreakers without integral overcurrent protection for household and similar uses Rccbs: Part 1 general rules (Third Revision),2024.0,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 12640,IS 12640,BIS searchKnowStandards,65,241
IS 6600:1972,Guide for loading of oil immersed transformers,,Withdrawn,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 6600,IS 6600,BIS searchKnowStandards,65,250
IS 4736:1986,Specification for hot - Dip zinc coatings on mild steel tubes (Fist Revision),1987.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 4736,IS 4736,BIS searchKnowStandards,70,111
IS 2121 (Part 1):1981,"Specification for conductors and earth wire accessories for overhead power lines: Part 1 armour rods, binding wires and tapes for conductors (First Revision)",1981.0,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 2121,IS 2121,BIS searchKnowStandards,65,270
IS 4826:2023,Hot-Dip Galvanized Coatings on Round Steel Wires ï¿½ Requirements,2023.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 4826,IS 4826,BIS searchKnowStandards,70,111
IS 1199 (Part 1):2018,"Fresh Concrete - Methods of Sampling, Testing and Analysis Part 1 Sampling of Fresh Concrete ( First Revision ) ",2018.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1199,IS 1199,BIS searchKnowStandards,63,190
IS 1536:2023,"Centrifugally cast  (spun) iron pressure pipes for water, gas and sewage ï¿½ Specification",2023.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1536,IS 1536,BIS searchKnowStandards,70,29
IS 6392:2020,Steel Pipes Flanges — Specification ( First Revision ) ,2020.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 6392,IS 6392,BIS searchKnowStandards,70,40
IS 722 (Part 1):1986,ac Electricity Meters - Part 1 : General Requirements and Tests,,Withdrawn,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 722,IS 722,BIS searchKnowStandards,65,247
IS 3639:1966,Specification for fittings and accessories for power transformers,1967.0,Current,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 3639,IS 3639,BIS searchKnowStandards,65,250
IS 2556 (Part 1):2021,Vitreous China sanitary appliances - Specification: Part 1 General requirements (fourth revision),2021.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 2556,IS 2556,BIS searchKnowStandards,63,191
